location	LR	alpha
668.000000	0.307131	2.175669e+01
5669.534012	0.023239	3.307878e-02
10671.068023	8.633861	1.381177e-04
15672.602035	0.154889	2.561460e-03
20674.136047	0.063190	1.088020e-02
25675.670058	0.046344	1.618686e-02
30677.204070	3.402411	4.384982e-04
35678.738081	0.223494	1.245564e-02
40680.272093	0.071038	3.649261e-01
45681.806105	0.011182	1.241857e-02
50683.340116	0.279626	6.528510e-04
55684.874128	0.402588	8.250856e-03
60686.408140	3.239888	1.438190e-04
65687.942151	1.996590	3.210104e-04
70689.476163	2.355061	6.873239e-04
75691.010174	0.000000	7.707182e-03
80692.544186	0.479087	7.257717e-03
85694.078198	7.591761	3.551606e-03
90695.612209	77.871459	1.977433e-04
95697.146221	0.120032	1.707121e-01
100698.680233	0.037262	3.213406e-01
105700.214244	0.810709	1.126347e-02
110701.748256	0.408507	3.462584e-02
115703.282267	2.516924	9.918476e-04
120704.816279	0.123007	1.450545e-02
125706.350291	4.646077	3.402100e-03
130707.884302	0.557759	6.075905e-02
135709.418314	0.166313	4.078821e-02
140710.952326	16.436900	4.134474e-04
145712.486337	0.184190	2.020199e-03
150714.020349	0.126684	2.353878e-03
155715.554360	0.000045	1.268396e-02
160717.088372	1.039768	9.938513e-04
165718.622384	0.000907	4.026143e-03
170720.156395	0.030922	2.945213e-01
175721.690407	0.098770	3.752399e-01
180723.224419	0.416292	4.410368e-03
185724.758430	0.265204	3.626131e-04
190726.292442	0.019291	2.015280e-01
195727.826453	0.000000	4.833555e-01
200729.360465	0.077232	2.344753e+00
205730.894477	0.005660	2.847770e+00
210732.428488	0.035589	2.985720e-02
215733.962500	3.251764	2.671289e-04
220735.496512	0.192428	6.328727e-02
225737.030523	0.549772	3.229316e-02
230738.564535	0.119349	1.837416e-01
235740.098547	0.655619	1.284526e-01
240741.632558	0.028434	4.287455e+00
245743.166570	0.030231	8.157766e-02
250744.700581	29.121997	3.326437e-04
255746.234593	1.150288	2.097076e-02
260747.768605	8.230052	7.444256e-04
265749.302616	1.398451	1.505111e-01
270750.836628	0.065338	3.069085e-01
275752.370640	52.387587	1.923827e-04
280753.904651	0.096815	2.065866e-02
285755.438663	0.005670	5.735812e-01
290756.972674	0.000001	2.572336e-02
295758.506686	4.471755	7.713827e-04
300760.040698	0.325229	7.586693e-03
305761.574709	0.000000	4.947861e+00
310763.108721	0.721027	1.475150e-03
315764.642733	41.623534	4.214744e-04
320766.176744	0.000138	5.836685e-02
325767.710756	0.096360	6.654331e-02
330769.244767	0.098703	1.114788e+00
335770.778779	1.904921	2.027557e-03
340772.312791	1.056949	7.772611e-02
345773.846802	0.107228	2.963940e-01
350775.380814	0.018307	2.118710e-01
355776.914826	0.370547	8.000818e-03
360778.448837	0.192077	1.725239e-02
365779.982849	0.846149	2.065300e-02
370781.516860	15.810260	2.178254e-04
375783.050872	4.917447	2.234200e-04
380784.584884	0.133715	6.448830e-03
385786.118895	0.013639	2.480879e-02
390787.652907	0.519008	1.199721e-02
395789.186919	0.073035	3.767060e-02
400790.720930	0.037264	1.925285e+00
405792.254942	0.017119	1.345398e-01
410793.788953	1.436531	6.902677e-03
415795.322965	0.128527	5.949830e-02
420796.856977	18.209310	5.117137e-04
425798.390988	0.000124	8.483705e-02
430799.925000	0.669814	4.485990e-03
435801.459012	0.649696	4.205101e-02
440802.993023	1.332775	3.574370e-03
445804.527035	0.246973	7.218544e-03
450806.061047	5.677382	5.099475e-04
455807.595058	0.592598	8.308611e-03
460809.129070	28.969099	3.691442e-04
465810.663081	12.531841	1.128684e-04
470812.197093	44.924474	9.051285e-05
475813.731105	0.957390	5.104590e-04
480815.265116	0.022525	1.501479e-03
485816.799128	6.867614	1.410164e-04
490818.333140	0.361526	7.610732e-03
495819.867151	0.802796	2.378965e-02
500821.401163	0.331903	2.709078e-02
505822.935174	1.073399	6.133029e-02
510824.469186	0.912335	9.493965e-03
515826.003198	0.146940	3.412534e-03
520827.537209	0.000000	8.254681e-01
525829.071221	0.311401	3.838041e-02
530830.605233	4.920355	8.021706e-04
535832.139244	0.007915	4.665847e-01
540833.673256	0.000000	5.903554e-01
545835.207267	0.000000	2.570734e-02
550836.741279	1.066672	2.816585e-02
555838.275291	2.859000	2.504758e-03
560839.809302	0.106884	6.276609e-02
565841.343314	1.675171	1.131652e-03
570842.877326	4.657200	1.781967e-03
575844.411337	2.728025	7.052263e-03
580845.945349	0.010740	1.045945e+00
585847.479360	0.000000	1.085770e-01
590849.013372	5.344840	5.063336e-03
595850.547384	1.674124	1.098206e-03
600852.081395	0.003483	1.501507e+00
605853.615407	0.055012	2.817598e-01
610855.149419	0.003607	3.237356e-01
615856.683430	0.007734	1.835552e+00
620858.217442	0.000018	9.172480e-01
625859.751453	0.042247	8.075719e-02
630861.285465	0.035776	5.194509e-02
635862.819477	0.001021	4.470682e-01
640864.353488	0.219790	8.177750e-03
645865.887500	0.005145	1.182953e-02
650867.421512	0.098751	5.521155e-02
655868.955523	0.685309	1.607483e-02
660870.489535	8.266986	1.379443e-03
665872.023547	0.003483	4.129717e-01
670873.557558	0.311581	6.772779e-02
675875.091570	0.235483	4.060221e-03
680876.625581	1.219925	2.362395e-03
685878.159593	0.070073	5.314057e-03
690879.693605	0.030320	2.180132e+00
695881.227616	2.906446	3.218265e-04
700882.761628	4.549615	7.475610e-04
705884.295640	0.460388	9.374584e-03
710885.829651	0.113324	8.947850e-01
715887.363663	0.010879	4.135121e-01
720888.897674	0.006931	1.272305e-01
725890.431686	0.005265	5.483692e-01
730891.965698	0.034890	1.945041e-01
735893.499709	1.833759	1.269948e-02
740895.033721	0.403336	5.919110e-03
745896.567733	0.057748	9.493327e-03
750898.101744	0.070771	1.119712e-01
755899.635756	0.003479	7.927092e-01
760901.169767	0.005660	4.927232e-01
765902.703779	0.008939	6.272345e-01
770904.237791	4.215915	2.938584e-03
775905.771802	0.000000	5.269676e-01
780907.305814	0.338739	2.135844e-01
785908.839826	0.963522	5.116730e-02
790910.373837	0.580935	1.036572e-02
795911.907849	0.000000	3.587046e+00
800913.441860	0.435017	5.771251e-02
805914.975872	3.345646	1.292017e-03
810916.509884	0.028684	3.493459e-01
815918.043895	1.786419	1.387920e-02
820919.577907	0.277139	9.577137e-03
825921.111919	0.312299	2.669362e-03
830922.645930	0.009927	2.626495e-01
835924.179942	19.698457	9.114208e-04
840925.713953	0.000018	3.045501e-01
845927.247965	0.136448	8.778417e-02
850928.781977	1.361841	9.217820e-03
855930.315988	0.579614	1.852426e-02
860931.850000	0.075783	1.455935e-02
865933.384012	0.043742	4.225222e-02
870934.918023	0.080333	7.833888e-02
875936.452035	2.182843	3.503482e-03
880937.986047	0.084394	7.727020e-01
885939.520058	0.018392	2.661817e-01
890941.054070	8.022851	5.346717e-04
895942.588081	13.746935	6.962545e-04
900944.122093	0.000000	1.402956e+00
905945.656105	31.827104	7.550398e-04
910947.190116	0.292769	3.612507e-02
915948.724128	0.769888	6.678494e-03
920950.258140	0.001358	1.187975e-01
925951.792151	0.128547	9.958198e-02
930953.326163	0.000001	8.507905e-01
935954.860174	0.143340	5.634427e-02
940956.394186	0.127943	9.800246e-03
945957.928198	0.942733	1.331289e-02
950959.462209	0.020673	1.317195e+00
955960.996221	1.682563	1.702347e-02
960962.530233	4.481227	1.463377e-03
965964.064244	0.343979	6.403058e-03
970965.598256	0.307787	6.478526e-03
975967.132267	0.622029	2.442737e-03
980968.666279	1.550193	2.886075e-03
985970.200291	4.645241	6.808425e-04
990971.734302	2.739618	2.171687e-03
995973.268314	2.330561	1.996434e-02
1000974.802326	0.000288	5.113720e-01
1005976.336337	0.484581	3.434767e-02
1010977.870349	1.150758	4.336508e-03
1015979.404360	209.689303	3.871969e-05
1020980.938372	295.176584	3.499231e-05
1025982.472384	317.008977	3.921517e-05
1030984.006395	275.198269	6.738772e-05
1035985.540407	22.649987	3.899518e-04
1040987.074419	8.297157	8.859920e-04
1045988.608430	1.907146	4.883009e-03
1050990.142442	0.235955	2.076325e-02
1055991.676453	0.850146	5.554112e-04
1060993.210465	0.125960	1.971302e-01
1065994.744477	0.241809	1.842837e-01
1070996.278488	0.012152	5.072872e-01
1075997.812500	0.178692	1.054993e-02
1080999.346512	0.699177	1.003753e-02
1086000.880523	0.338820	4.397323e-01
1091002.414535	4.387977	1.337329e-03
1096003.948547	1.158965	2.879344e-03
1101005.482558	0.207797	2.359181e-01
1106007.016570	0.390921	2.519068e-03
1111008.550581	0.000152	2.119100e-01
1116010.084593	0.009438	1.528123e-01
1121011.618605	1.224638	2.707391e-03
1126013.152616	0.024037	3.849919e-02
1131014.686628	0.143822	6.828405e-02
1136016.220640	0.098701	2.047002e-01
1141017.754651	59.239319	2.055956e-04
1146019.288663	0.007751	6.530863e-02
1151020.822674	0.019367	6.638798e-01
1156022.356686	13.620473	4.746036e-04
1161023.890698	0.028356	6.905751e-02
1166025.424709	29.870572	2.894904e-04
1171026.958721	0.457951	2.553457e-02
1176028.492733	0.000764	2.827179e-01
1181030.026744	1.189798	5.206887e-02
1186031.560756	0.770529	3.267750e-02
1191033.094767	0.016683	1.985146e-01
1196034.628779	0.655908	4.304846e-01
1201036.162791	0.042090	5.224660e-01
1206037.696802	0.007292	1.430526e-01
1211039.230814	0.120003	4.228596e-01
1216040.764826	0.034887	1.097029e+00
1221042.298837	0.050978	2.969773e-02
1226043.832849	0.305998	5.199575e-04
1231045.366860	0.485806	1.660710e-02
1236046.900872	0.007948	3.020846e-01
1241048.434884	0.046394	2.902685e-02
1246049.968895	0.000020	1.383026e-01
1251051.502907	1.070271	4.863893e-03
1256053.036919	34.254420	1.900581e-04
1261054.570930	153.024502	7.766340e-05
1266056.104942	83.006437	1.192792e-04
1271057.638953	0.000126	1.977744e-01
1276059.172965	0.642500	1.553474e-02
1281060.706977	0.075091	6.346321e-02
1286062.240988	0.038309	2.951626e-01
1291063.775000	0.022302	3.422580e-01
1296065.309012	0.033273	1.485577e-02
1301066.843023	0.082824	1.316004e-01
1306068.377035	0.000124	6.098900e-01
1311069.911047	0.027877	1.704938e+00
1316071.445058	0.000173	3.702290e-01
1321072.979070	0.348753	4.495742e-03
1326074.513081	0.006958	8.234121e-01
1331076.047093	0.757222	5.828964e-03
1336077.581105	1.270057	1.226389e-02
1341079.115116	0.207664	9.221333e-03
1346080.649128	0.000000	2.668148e-01
1351082.183140	0.310590	1.798887e-03
1356083.717151	8.869639	6.312431e-04
1361085.251163	0.055117	4.829921e-02
1366086.785174	0.000000	4.601490e-02
1371088.319186	0.107554	5.318656e-02
1376089.853198	0.026007	2.353199e-01
1381091.387209	1.213546	1.289876e-02
1386092.921221	0.229480	2.232268e-02
1391094.455233	0.079036	3.480291e-02
1396095.989244	0.000000	2.003592e+00
1401097.523256	0.082331	5.029412e-02
1406099.057267	0.405292	4.389782e-01
1411100.591279	0.527997	5.821323e-02
1416102.125291	5.783449	1.349510e-03
1421103.659302	0.680127	1.350452e-02
1426105.193314	3.613008	1.927216e-03
1431106.727326	0.003479	8.806548e-01
1436108.261337	0.000076	1.035956e-01
1441109.795349	0.278767	4.304328e-01
1446111.329360	0.215397	4.517318e-02
1451112.863372	0.007917	2.624259e-01
1456114.397384	0.245123	1.081811e-01
1461115.931395	0.029579	8.129864e-01
1466117.465407	6.866093	1.161466e-03
1471118.999419	0.328697	2.012224e-02
1476120.533430	36.807282	5.688395e-04
1481122.067442	0.058232	7.625888e-03
1486123.601453	1.124743	1.376750e-03
1491125.135465	0.078779	8.280817e-02
1496126.669477	0.161949	1.237818e-01
1501128.203488	0.072213	2.094774e-02
1506129.737500	1.004973	9.677756e-03
1511131.271512	0.103295	2.843375e-02
1516132.805523	1.143048	4.293887e-02
1521134.339535	8.771817	1.039639e-03
1526135.873547	2.542060	1.295602e-03
1531137.407558	23.334125	1.513471e-04
1536138.941570	73.636708	7.071757e-05
1541140.475581	45.946432	5.987574e-05
1546142.009593	71.346231	8.616122e-05
1551143.543605	0.028115	5.493556e-02
1556145.077616	3.059158	5.939930e-03
1561146.611628	0.093472	3.933449e-02
1566148.145640	0.000000	1.404560e+01
1571149.679651	0.004278	4.010734e+00
1576151.213663	0.000000	7.401166e-01
1581152.747674	0.084176	3.101979e-02
1586154.281686	0.153422	5.969466e-02
1591155.815698	0.109363	2.367182e-01
1596157.349709	0.081959	1.403620e-02
1601158.883721	51.696343	1.772122e-04
1606160.417733	93.880445	5.791022e-05
1611161.951744	49.974810	9.058085e-05
1616163.485756	7.493994	2.239164e-04
1621165.019767	0.007955	1.195936e-01
1626166.553779	0.460777	1.000179e-02
1631168.087791	7.557919	1.014021e-03
1636169.621802	1.622283	5.319595e-04
1641171.155814	0.961556	1.850699e-02
1646172.689826	0.026384	2.770061e-01
1651174.223837	12.333230	6.412383e-04
1656175.757849	0.663607	8.869139e-02
1661177.291860	0.362838	6.207000e-03
1666178.825872	1.022681	1.033695e-01
1671180.359884	1.495683	8.300462e-03
1676181.893895	0.005722	2.097163e-01
1681183.427907	97.668431	8.083573e-05
1686184.961919	179.518980	5.411853e-05
1691186.495930	154.203625	4.379113e-05
1696188.029942	139.074987	5.151972e-05
1701189.563953	67.536924	9.131451e-05
1706191.097965	0.021307	1.554737e-02
1711192.631977	0.077233	1.024818e-01
1716194.165988	0.161797	1.040305e-01
1721195.700000	0.064133	2.312876e-02
1726197.234012	1.253276	1.086347e-03
1731198.768023	0.033487	4.416489e-02
1736200.302035	1.398828	1.707846e-03
1741201.836047	1.397122	9.879901e-03
1746203.370058	0.007917	2.778336e-01
1751204.904070	0.041831	4.531392e-02
1756206.438081	1.661182	7.084652e-03
1761207.972093	0.000000	5.211070e-01
1766209.506105	0.012515	2.181043e-01
1771211.040116	0.034167	8.183841e-01
1776212.574128	0.007099	1.005943e-01
1781214.108140	0.085072	7.037700e-02
1786215.642151	0.030882	7.730499e-02
1791217.176163	1.101794	1.068072e-02
1796218.710174	0.080707	7.650196e-02
1801220.244186	0.676979	6.149845e-02
1806221.778198	0.074953	1.888127e-02
1811223.312209	0.002334	9.458437e-02
1816224.846221	0.035726	7.939441e-03
1821226.380233	0.000121	4.216240e-01
1826227.914244	7.170078	8.641111e-04
1831229.448256	0.250185	1.119084e-02
1836230.982267	0.087781	4.676368e+01
1841232.516279	0.381026	6.097915e-03
1846234.050291	0.856336	2.461410e-03
1851235.584302	0.031636	1.030127e-01
1856237.118314	0.449439	1.919573e-03
1861238.652326	0.000012	7.335916e-01
1866240.186337	0.098567	1.366297e-01
1871241.720349	0.855291	4.072325e-01
1876243.254360	9.943853	7.599346e-04
1881244.788372	0.403046	1.302251e-03
1886246.322384	0.046223	2.581484e-01
1891247.856395	0.113016	1.440386e-03
1896249.390407	3.427613	6.348057e-04
1901250.924419	0.064359	1.751380e-03
1906252.458430	0.348032	1.994944e-02
1911253.992442	2.129866	5.357250e-03
1916255.526453	0.329688	1.029344e-01
1921257.060465	0.021530	2.641115e-01
1926258.594477	0.056688	2.780915e-01
1931260.128488	0.078421	1.155226e+01
1936261.662500	0.012657	3.155154e-03
1941263.196512	0.063779	2.667915e-01
1946264.730523	0.960497	6.904412e-04
1951266.264535	4.632982	2.122900e-03
1956267.798547	0.069348	2.236884e-03
1961269.332558	0.011067	5.534422e-02
1966270.866570	0.005660	1.364677e+00
1971272.400581	1.131644	1.163049e-02
1976273.934593	0.000000	3.049872e+00
1981275.468605	0.000000	1.453992e-01
1986277.002616	0.030320	1.516117e+00
1991278.536628	0.000000	2.005136e-02
1996280.070640	0.030146	7.352646e-02
2001281.604651	0.437342	7.915219e-02
2006283.138663	0.143469	5.254579e-02
2011284.672674	1.662346	4.784366e-03
2016286.206686	0.032330	8.291513e-01
2021287.740698	0.187621	7.436187e-03
2026289.274709	0.078226	2.068950e-01
2031290.808721	0.133925	4.084260e-01
2036292.342733	0.000000	1.984596e-02
2041293.876744	3.728241	7.494510e-03
2046295.410756	0.107499	2.329630e-01
2051296.944767	0.000018	8.664614e+01
2056298.478779	0.443934	2.516895e-03
2061300.012791	0.000015	1.180562e-02
2066301.546802	2.598868	2.455757e-03
2071303.080814	3.126067	8.954274e-04
2076304.614826	0.195170	6.453235e-02
2081306.148837	0.024902	2.416995e-02
2086307.682849	0.695472	1.401043e-01
2091309.216860	0.085606	4.324401e-01
2096310.750872	0.705903	1.816897e-01
2101312.284884	0.051879	3.136522e-02
2106313.818895	174.190877	5.665469e-05
2111315.352907	355.121959	3.450246e-05
2116316.886919	494.363694	2.636311e-05
2121318.420930	485.205842	2.319970e-05
2126319.954942	178.548250	2.104309e-05
2131321.488953	80.680291	1.913471e-05
2136323.022965	588.556331	1.883155e-05
2141324.556977	697.030692	1.888953e-05
2146326.090988	690.049946	1.941033e-05
2151327.625000	809.668617	1.951556e-05
2156329.159012	758.891190	2.030561e-05
2161330.693023	399.550963	2.241305e-05
2166332.227035	199.247085	2.887356e-05
2171333.761047	15.689054	6.024888e-05
2176335.295058	8.052699	4.008563e-04
2181336.829070	0.000001	4.054268e-01
2186338.363081	0.295565	6.643272e-02
2191339.897093	0.189175	2.603389e-02
2196341.431105	0.926113	1.276269e-02
2201342.965116	0.218976	1.841691e-02
2206344.499128	39.287294	2.322514e-04
2211346.033140	0.060452	3.753677e-02
2216347.567151	17.105809	6.354847e-04
2221349.101163	20.757998	5.924891e-04
2226350.635174	42.694626	1.311389e-04
2231352.169186	54.711808	7.705110e-05
2236353.703198	0.045817	6.749363e-02
2241355.237209	0.026503	3.526188e-01
2246356.771221	0.000000	2.878900e-01
2251358.305233	0.089329	8.674941e-03
2256359.839244	0.000000	3.229213e-01
2261361.373256	0.586227	5.568706e-02
2266362.907267	2.725275	1.634297e-02
2271364.441279	0.052503	3.759495e-01
2276365.975291	1.177981	2.524098e-02
2281367.509302	0.007467	3.218470e-02
2286369.043314	0.278958	6.510457e-02
2291370.577326	0.004344	1.826798e-02
2296372.111337	0.027274	2.942202e-01
2301373.645349	1.273114	4.814300e-02
2306375.179360	5.007644	1.313128e-03
2311376.713372	1.348907	2.955310e-03
2316378.247384	3.424347	1.071446e-03
2321379.781395	0.027190	1.229754e-01
2326381.315407	0.079658	2.329147e-01
2331382.849419	0.659720	2.553577e-02
2336384.383430	0.853803	1.006502e-03
2341385.917442	3.401848	1.157169e-03
2346387.451453	0.680936	2.135438e-02
2351388.985465	1.177527	3.584959e-02
2356390.519477	0.003445	1.342660e-01
2361392.053488	0.085540	1.279216e+00
2366393.587500	0.358787	8.823308e-02
2371395.121512	0.016050	1.692443e-01
2376396.655523	3.575853	6.691498e-03
2381398.189535	0.526794	3.692871e-02
2386399.723547	0.223822	2.144358e-02
2391401.257558	0.027877	1.235154e+00
2396402.791570	0.000306	8.704509e-02
2401404.325581	0.301458	2.312962e-01
2406405.859593	0.084590	5.763747e-03
2411407.393605	1.017563	5.955284e-03
2416408.927616	0.825392	7.392282e-02
2421410.461628	0.143854	2.070355e-01
2426411.995640	0.036762	1.308815e-02
2431413.529651	0.048184	3.976810e-02
2436415.063663	0.270526	9.533803e-03
2441416.597674	0.029281	7.854927e-02
2446418.131686	0.516023	1.682514e-03
2451419.665698	0.123453	8.714680e-02
