chrom start end window_rec_rates
chr1 1 100000 2.13568230301421
chr1 100001 200000 2.2421556580391
chr1 200001 300000 2.34984337473578
chr1 300001 400000 2.45069055550556
chr1 400001 500000 2.56002626406986
chr1 500001 600000 2.60479315224247
chr1 600001 700000 2.69643010467538
chr1 700001 800000 2.76131117937785
chr1 800001 900000 2.70123164423973
chr1 900001 1000000 2.08599776096509
chr1 1000001 1100000 1.6660958578465
chr1 1100001 1200000 1.55575257498626
chr1 1200001 1300000 1.59594403211214
chr1 1300001 1400000 1.81941086425765
chr1 1400001 1500000 2.43447564420172
chr1 1500001 1600000 2.54945240565876
chr1 1600001 1700000 2.21219242823161
chr1 1700001 1800000 2.09194518575802
chr1 1800001 1900000 2.05930659836083
chr1 1900001 2000000 2.02609845236322
chr1 2000001 2100000 2.25035871092137
chr1 2100001 2200000 2.6504002997595
chr1 2200001 2300000 2.96877094023773
chr1 2300001 2400000 3.39872533167707
chr1 2400001 2500000 3.7691520260642
chr1 2500001 2600000 3.89544798419862
chr1 2600001 2700000 4.30867704551785
chr1 2700001 2800000 4.7392791224186
chr1 2800001 2900000 5.05392337212051
chr1 2900001 3000000 5.38949308522468
chr1 3000001 3100000 6.01154886272274
chr1 3100001 3200000 7.20238378325065
chr1 3200001 3300000 7.43764227294059
chr1 3300001 3400000 7.45326957618255
chr1 3400001 3500000 6.33693807390213
chr1 3500001 3600000 5.31791775097089
chr1 3600001 3700000 5.07156031940406
chr1 3700001 3800000 5.15975428720154
chr1 3800001 3900000 5.11064259644501
chr1 3900001 4000000 4.96151324505169
chr1 4000001 4100000 4.74395431408286
chr1 4100001 4200000 5.01749333047085
chr1 4200001 4300000 5.55805514000182
chr1 4300001 4400000 5.93264598058724
chr1 4400001 4500000 6.12330649656018
chr1 4500001 4600000 5.62691146220733
chr1 4600001 4700000 3.97496938454084
chr1 4700001 4800000 2.68679938126091
chr1 4800001 4900000 2.4668977657846
chr1 4900001 5000000 2.43061420873826
chr1 5000001 5100000 2.26550176478675
chr1 5100001 5200000 2.65483791428897
chr1 5200001 5300000 3.32619006307139
chr1 5300001 5400000 3.84709758232904
chr1 5400001 5500000 4.68536887151355
chr1 5500001 5600000 4.92878151670949
chr1 5600001 5700000 5.68200791871206
chr1 5700001 5800000 6.13348026136207
chr1 5800001 5900000 6.1989066361647
chr1 5900001 6000000 6.31487592186305
chr1 6000001 6100000 6.27897870581004
chr1 6100001 6200000 6.32966642993391
chr1 6200001 6300000 5.75375180686066
chr1 6300001 6400000 4.65073755049346
chr1 6400001 6500000 3.42048510352798
chr1 6500001 6600000 2.86436200553905
chr1 6600001 6700000 3.16546483491364
chr1 6700001 6800000 4.11571646196498
chr1 6800001 6900000 4.52740671457859
chr1 6900001 7000000 5.59419557660992
chr1 7000001 7100000 6.84847009627206
chr1 7100001 7200000 6.72125822461494
chr1 7200001 7300000 5.94624529808527
chr1 7300001 7400000 5.30121590646534
chr1 7400001 7500000 4.07006393582954
chr1 7500001 7600000 3.59470813165492
chr1 7600001 7700000 3.42659962161617
chr1 7700001 7800000 3.33500381920974
chr1 7800001 7900000 3.49326229148285
chr1 7900001 8000000 3.92130672329833
chr1 8000001 8100000 3.78766498631046
chr1 8100001 8200000 3.33371149296392
chr1 8200001 8300000 2.84713695937841
chr1 8300001 8400000 2.2775499000095
chr1 8400001 8500000 1.93675444523281
chr1 8500001 8600000 1.61678286834178
chr1 8600001 8700000 1.38100908623252
chr1 8700001 8800000 1.2353875754767
chr1 8800001 8900000 1.13189971234298
chr1 8900001 9000000 1.21300057160725
chr1 9000001 9100000 1.50473992355713
chr1 9100001 9200000 1.66782764179354
chr1 9200001 9300000 1.69957368032613
chr1 9300001 9400000 1.77423041223806
chr1 9400001 9500000 1.84815293341432
chr1 9500001 9600000 1.87383252640347
chr1 9600001 9700000 1.88990511238134
chr1 9700001 9800000 1.76464695895846
chr1 9800001 9900000 1.55220569620897
chr1 9900001 10000000 1.41114582932256
chr1 10000001 10100000 1.23713890656919
chr1 10100001 10200000 1.19554882069557
chr1 10200001 10300000 1.46420440617695
chr1 10300001 10400000 1.86605886342789
chr1 10400001 10500000 2.35780525761482
chr1 10500001 10600000 2.86083905633592
chr1 10600001 10700000 3.50979511822352
chr1 10700001 10800000 3.87457764199307
chr1 10800001 10900000 3.53113205146063
chr1 10900001 11000000 3.57230815682285
chr1 11000001 11100000 3.62634635429296
chr1 11100001 11200000 4.04212109714068
chr1 11200001 11300000 4.0909589561414
chr1 11300001 11400000 3.60480630188213
chr1 11400001 11500000 3.30495679633941
chr1 11500001 11600000 2.73105696941898
chr1 11600001 11700000 2.26184259101712
chr1 11700001 11800000 1.87703651872244
chr1 11800001 11900000 1.61718243819739
chr1 11900001 12000000 1.4669520289543
chr1 12000001 12100000 1.29294744369165
chr1 12100001 12200000 1.14795241871743
chr1 12200001 12300000 1.37120896395359
chr1 12300001 12400000 1.61251310959308
chr1 12400001 12500000 2.14383378756679
chr1 12500001 12600000 2.18165508089313
chr1 12600001 12700000 2.34128329692771
chr1 12700001 12800000 2.42743996800768
chr1 12800001 12900000 2.59629405567647
chr1 12900001 13000000 2.46280899698141
chr1 13000001 13100000 2.12215864681564
chr1 13100001 13200000 1.61980186988582
chr1 13200001 13300000 1.39918942910611
chr1 13300001 13400000 1.48878437037465
chr1 13400001 13500000 1.89905142400984
chr1 13500001 13600000 2.33196158019527
chr1 13600001 13700000 2.99439056363428
chr1 13700001 13800000 3.82311349327526
chr1 13800001 13900000 4.01108755938445
chr1 13900001 14000000 4.20642967582728
chr1 14000001 14100000 4.20085549882895
chr1 14100001 14200000 4.38337780376448
chr1 14200001 14300000 4.36018048927327
chr1 14300001 14400000 3.92161710392466
chr1 14400001 14500000 4.03225529585392
chr1 14500001 14600000 3.74901979685051
chr1 14600001 14700000 3.26086215205018
chr1 14700001 14800000 2.99099949500683
chr1 14800001 14900000 2.84565726429656
chr1 14900001 15000000 3.10488511578573
chr1 15000001 15100000 3.98411870226043
chr1 15100001 15200000 3.50315463912027
chr1 15200001 15300000 3.25532349578956
chr1 15300001 15400000 3.53898486229908
chr1 15400001 15500000 3.67125741253437
chr1 15500001 15600000 3.76057149122498
chr1 15600001 15700000 3.94348188310677
chr1 15700001 15800000 3.90413257634949
chr1 15800001 15900000 3.19993836955864
chr1 15900001 16000000 2.75575834378101
chr1 16000001 16100000 2.46209037292766
chr1 16100001 16200000 2.20008889372542
chr1 16200001 16300000 2.06232906015369
chr1 16300001 16400000 1.89731205243674
chr1 16400001 16500000 1.70205648005706
chr1 16500001 16600000 1.50729031805307
chr1 16600001 16700000 1.31670356909942
chr1 16700001 16800000 1.11725851493825
chr1 16800001 16900000 0.920307763461102
chr1 16900001 17000000 0.812088353805642
chr1 17000001 17100000 0.724986554819117
chr1 17100001 17200000 0.677237607295889
chr2 1 100000 5.82533558268512
chr2 100001 200000 5.93738565874286
chr2 200001 300000 5.99025506779652
chr2 300001 400000 6.08672571387537
chr2 400001 500000 6.17273784493759
chr2 500001 600000 6.31241000880823
chr2 600001 700000 6.36057263226793
chr2 700001 800000 6.41744802897298
chr2 800001 900000 6.11487683716132
chr2 900001 1000000 6.21600173280794
chr2 1000001 1100000 6.35646160823844
chr2 1100001 1200000 6.28642800920438
chr2 1200001 1300000 6.12552224579302
chr2 1300001 1400000 6.42700159011281
chr2 1400001 1500000 5.49459658732303
chr2 1500001 1600000 4.66380391925785
chr2 1600001 1700000 3.15819141633087
chr2 1700001 1800000 2.60551293905449
chr2 1800001 1900000 3.13664030393391
chr2 1900001 2000000 3.66004499456442
chr2 2000001 2100000 4.56994165271258
chr2 2100001 2200000 5.12900441018107
chr2 2200001 2300000 5.61586370668504
chr2 2300001 2400000 6.08605097029114
chr2 2400001 2500000 6.53127959762566
chr2 2500001 2600000 6.1999317961468
chr2 2600001 2700000 5.67539844421836
chr2 2700001 2800000 4.76516147878079
chr2 2800001 2900000 4.35746444664335
chr2 2900001 3000000 3.80093431014096
chr2 3000001 3100000 3.50753196694226
chr2 3100001 3200000 3.78062473324729
chr2 3200001 3300000 4.23121624845508
chr2 3300001 3400000 4.35239539504064
chr2 3400001 3500000 4.39275360831216
chr2 3500001 3600000 4.37227013953077
chr2 3600001 3700000 4.12242003104914
chr2 3700001 3800000 3.73285360023964
chr2 3800001 3900000 3.28461402742763
chr2 3900001 4000000 2.94179447476074
chr2 4000001 4100000 2.63377211234476
chr2 4100001 4200000 2.25652877372019
chr2 4200001 4300000 2.09916126113969
chr2 4300001 4400000 2.18196592234815
chr2 4400001 4500000 2.39105141597272
chr2 4500001 4600000 2.49182147928621
chr2 4600001 4700000 2.69454903911791
chr2 4700001 4800000 3.29303484676059
chr2 4800001 4900000 4.0179698447208
chr2 4900001 5000000 4.55020827402116
chr2 5000001 5100000 4.97172809002275
chr2 5100001 5200000 4.89858227540252
chr2 5200001 5300000 4.89736215304873
chr2 5300001 5400000 4.8096943693811
chr2 5400001 5500000 4.62547219727468
chr2 5500001 5600000 4.45291231992393
chr2 5600001 5700000 4.52749240729461
chr2 5700001 5800000 4.4197343264967
chr2 5800001 5900000 4.50162384629118
chr2 5900001 6000000 4.20363309068779
chr2 6000001 6100000 3.90609838207203
chr2 6100001 6200000 3.7802007769026
chr2 6200001 6300000 3.94450491858687
chr2 6300001 6400000 4.1797867681864
chr2 6400001 6500000 4.22545680021203
chr2 6500001 6600000 4.96188105005929
chr2 6600001 6700000 6.07503417278014
chr2 6700001 6800000 7.2117820495982
chr2 6800001 6900000 8.59529951831572
chr2 6900001 7000000 9.30536801482111
chr2 7000001 7100000 9.33341478226845
chr2 7100001 7200000 9.75052813495406
chr2 7200001 7300000 9.58293656841036
chr2 7300001 7400000 9.03588263014338
chr2 7400001 7500000 8.21818037254273
chr2 7500001 7600000 7.31613813901242
chr2 7600001 7700000 6.49948195738815
chr2 7700001 7800000 6.58105274961851
chr2 7800001 7900000 7.15732857209066
chr2 7900001 8000000 7.76844349186444
chr2 8000001 8100000 7.65634365480219
chr2 8100001 8200000 7.56350936785617
chr2 8200001 8300000 7.63066107842289
chr2 8300001 8400000 7.12491980392729
